Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Mitigation Finance ($ million),Adaptation Finance ($ million),Type of Financing,Currency,Project URL,,,,,,,
2-Dec-2022,53038-001,Climate-Resilient and Sustainable Livestock Development Project,MON,Mongolia,East Asia,EARD,EAER,Sovereign,34.504,Project loan,Loan,4072,ADB funds,OCR,23.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,12.881,3.995,Investment,USD,https://www.adb.org/projects/53038-001/main,,,,,,,
2-Dec-2022,53038-001,Climate-Resilient and Sustainable Livestock Development Project,MON,Mongolia,East Asia,EARD,EAER,Sovereign,,Project loan,Loan,4071,ADB funds,Concessional OCR,7.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,3.920,1.216,Investment,USD,https://www.adb.org/projects/53038-001/main,,,,,,,
11-Nov-2022,53051-001,Fujian Xianyou Mulan River Basin Integrated Ecological Improvement and Environmental Management Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,577.350,Mixed DFI-project,Loan,4204,ADB funds,OCR,191.448,"Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Dual-use,Medium,7.000,7.000,Investment,USD,https://www.adb.org/projects/53051-001/main,,,,,,,
11-Nov-2022,53051-001,Fujian Xianyou Mulan River Basin Integrated Ecological Improvement and Environmental Management Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,,Mixed DFI-project,Loan,4204,ADB funds,OCR,,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,15.910,23.850,Investment,USD,https://www.adb.org/projects/53051-001/main,,,,,,,
15-Dec-2022,53055-001,Guangxi Wuzhou Healthy and Age-Friendly City Development Program,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,"1,373.080",Results Based Lending,Loan,4218,ADB funds,OCR,100.000,Water and other urban infrastructure and services,Health,Dual-use,Medium,4.700,8.530,Investment,USD,https://www.adb.org/projects/53055-001/main,,,,,,,
15-Dec-2022,53055-001,Guangxi Wuzhou Healthy and Age-Friendly City Development Program,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,,Results Based Lending,Loan,4218,ADB funds,OCR,,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,14.100,25.590,Investment,USD,https://www.adb.org/projects/53055-001/main,,,,,,,
21-Dec-2022,53059-001,Shandong West Jining Water Supply and Drainage Integration Program,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,212.244,Project loan,Loan,4219,ADB funds,OCR,74.389,"Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Adaptation,Medium,,5.030,Investment,USD,https://www.adb.org/projects/53059-001/main,,,,,,,
21-Dec-2022,53059-001,Shandong West Jining Water Supply and Drainage Integration Program,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,,Project loan,Loan,4219,ADB funds,OCR,,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,,24.000,Investment,USD,https://www.adb.org/projects/53059-001/main,,,,,,,
21-Dec-2022,53059-001,Shandong West Jining Water Supply and Drainage Integration Program,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,,Project loan,Loan,4220,ADB funds,OCR,28.929,"Agriculture, natural resources and rural development",Public sector management,Adaptation,Medium,,3.000,Investment,USD,https://www.adb.org/projects/53059-001/main,,,,,,,
21-Dec-2022,53059-001,Shandong West Jining Water Supply and Drainage Integration Program,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,,Project loan,Loan,4220,ADB funds,OCR,,"Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Adaptation,Medium,,8.000,Investment,USD,https://www.adb.org/projects/53059-001/main,,,,,,,
21-Dec-2022,53059-001,Shandong West Jining Water Supply and Drainage Integration Program,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,,Project loan,Loan,4220,ADB funds,OCR,,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,,17.000,Investment,USD,https://www.adb.org/projects/53059-001/main,,,,,,,
2-Dec-2022,53077-001,Gansu Environmentally Sustainable Rural Vitalization and Development Project,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,319.290,Project loan,Loan,4227,ADB funds,OCR,151.170,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,40.240,49.040,Investment,USD,https://www.adb.org/projects/53077-001/main,,,,,,,
15-Dec-2022,53079-001,Guangxi Li River Comprehensive Ecological Management and Demonstration Project,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,357.600,Project loan,Loan,4209,ADB funds,OCR,140.708,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,High,7.707,16.950,Investment,USD,https://www.adb.org/projects/53079-001/main,,,,,,,
15-Dec-2022,53079-001,Guangxi Li River Comprehensive Ecological Management and Demonstration Project,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,Project loan,Loan,4209,ADB funds,OCR,,Water and other urban infrastructure and services,Transport,Dual-use,High,9.095,3.294,Investment,USD,https://www.adb.org/projects/53079-001/main,,,,,,,
15-Dec-2022,53079-001,Guangxi Li River Comprehensive Ecological Management and Demonstration Project,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,Project loan,Loan,4209,ADB funds,OCR,,Water and other urban infrastructure and services,"Agriculture, natural resources and rural development",Dual-use,High,7.707,5.180,Investment,USD,https://www.adb.org/projects/53079-001/main,,,,,,,
1-Dec-2022,53080-001,Heilongjiang Green Transformation Demonstration Project and Program,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,498.831,Project loan,Loan,4215,ADB funds,OCR,175.284,Transport,Water and other urban infrastructure and services,Dual-use,Medium,15.111,13.910,Investment,USD,https://www.adb.org/projects/53080-001/main,,,,,,,
1-Dec-2022,53080-001,Heilongjiang Green Transformation Demonstration Project and Program,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,Project loan,Loan,4215,ADB funds,OCR,,Transport,Transport,Dual-use,Medium,2.558,1.217,Investment,USD,https://www.adb.org/projects/53080-001/main,,,,,,,
1-Dec-2022,53080-001,Heilongjiang Green Transformation Demonstration Project and Program,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,Project loan,Loan,4215,ADB funds,OCR,,Transport,Information and communication technology,Dual-use,Medium,4.416,1.935,Investment,USD,https://www.adb.org/projects/53080-001/main,,,,,,,
1-Dec-2022,53080-001,Heilongjiang Green Transformation Demonstration Project and Program,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,Project loan,Loan,4215,ADB funds,OCR,,Transport,"Agriculture, natural resources and rural development",Dual-use,Medium,4.013,0.581,Investment,USD,https://www.adb.org/projects/53080-001/main,,,,,,,
1-Dec-2022,53080-001,Heilongjiang Green Transformation Demonstration Project and Program,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,Project loan,Loan,4216,ADB funds,OCR,19.515,Transport,,Dual-use,Medium,,,Investment,USD,https://www.adb.org/projects/53080-001/main,,,,,,,
12-Sep-2022,54026-014,Building Climate Resilience through Adaptation Planning in the Yellow River Basin,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,0.450,KSTA,Technical assistance,6948,ADB funds,Technical Assistance Special Fund,0.300,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.300,Technical assistance,USD,https://www.adb.org/projects/54026-014/main,,,,,,,
12-Sep-2022,54026-014,Building Climate Resilience through Adaptation Planning in the Yellow River Basin,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,,KSTA,Technical assistance,6948,ADB funds,Climate Change Fund,0.150,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.150,Technical assistance,USD,https://www.adb.org/projects/54026-014/main,,,,,,,
28-Dec-2022,54027-002,Yellow River Basin Green Farmland and High-Quality Agriculture Development Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,355.862,Sector loan,Loan,4239,ADB funds,OCR,166.340,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,16.746,53.560,Investment,USD,https://www.adb.org/projects/54027-002/main,,,,,,,
23-Dec-2022,54118-001,Strengthening Public Health Institutions Building Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,631.459,Project loan,Loan,4224,ADB funds,OCR,319.775,Health,Health,Dual-use,Medium,0.860,1.900,Investment,USD,https://www.adb.org/projects/54118-001/main,,,,,,,
20-Dec-2022,54360-001,Renewable Heating Demonstration in Remote Areas,MON,Mongolia,East Asia,EARD,EASI,Sovereign,2.070,Project grant,Grant,9231,Cofinancing (Full administration),Japan Fund for Prosperous and Resilient Asia and the Pacific,2.000,Energy,Energy,Mitigation,Low,2.000,,Investment,USD,https://www.adb.org/projects/54360-001/main,,,,,,,
31-Dec-2022,55006-001,Innovating Eco-Compensation Mechanisms in Yangtze River Basin,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,8.073,KSTA,Technical assistance,10033,Cofinancing (Full administration),Global Environment Facility,8.073,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,6.000,2.073,Technical assistance,USD,https://www.adb.org/projects/55006-001/main,,,,,,,
2-Feb-2022,55033-001,Research on Addressing Climate Change in Ningxia through the Use of Science and Technology,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,0.225,KSTA,Technical assistance,6783,Cofinancing (Full administration),Clean Energy Financing Partnership Facility (Clean Energy Fund),0.225,Energy,Energy,Dual-use,High,0.101,0.023,Technical assistance,USD,https://www.adb.org/projects/55033-001/main,,,,,,,
2-Feb-2022,55033-001,Research on Addressing Climate Change in Ningxia through the Use of Science and Technology,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,KSTA,Technical assistance,6783,Cofinancing (Full administration),Clean Energy Financing Partnership Facility (Clean Energy Fund),,Energy,"Agriculture, natural resources and rural development",Dual-use,High,0.034,0.068,Technical assistance,USD,https://www.adb.org/projects/55033-001/main,,,,,,,
14-Dec-2022,56051-001,Research on Methane Emission Reduction in Agriculture,Code,People's Republic of China,Region,EARD,EAER,Sovereign,0.300,KSTA,Technical assistance,6995,ADB funds,Technical Assistance Special Fund,0.300,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Mitigation,High,0.300,,Technical assistance,USD,https://www.adb.org/projects/56051-001/main,,,,,,,
30-Dec-2022,56052-001,Institutional and Strategic Research for Conservation and Restoration of Freshwater Ecosystem in Qinling National Park,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,0.300,KSTA,Technical assistance,10015,ADB funds,Technical Assistance Special Fund,0.300,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,0.180,0.120,Technical assistance,USD,https://www.adb.org/projects/56052-001/main,,,,,,,
24-Nov-2022,56057-001,Technical and Policy Research on Adaptation to Climate Change in Highway Infrastructure in the Yellow River Basin,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,0.450,KSTA,Technical assistance,6981,ADB funds,Technical Assistance Special Fund,0.300,Transport,Transport,Adaptation,Low,,0.300,Technical assistance,USD,https://www.adb.org/projects/56057-001/main,,,,,,,
24-Nov-2022,56057-001,Technical and Policy Research on Adaptation to Climate Change in Highway Infrastructure in the Yellow River Basin,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,,Technical assistance,6981,ADB funds,Climate Change Fund,0.150,Transport,Transport,Adaptation,Low,,0.150,Technical assistance,USD,https://www.adb.org/projects/56057-001/main,,,,,,,
21-Dec-2022,56061-001,Policy Research and Pilot Demonstration of Green and Low-Carbon Rural Houses,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,1.000,KSTA,Technical assistance,10037,ADB funds,Technical Assistance Special Fund,0.300,Energy,Energy,Dual-use,Low,0.200,0.100,Technical assistance,USD,https://www.adb.org/projects/56061-001/main,,,,,,,
21-Dec-2022,56061-001,Policy Research and Pilot Demonstration of Green and Low-Carbon Rural Houses,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,,KSTA,Technical assistance,10037,ADB funds,Climate Change Fund,0.700,Energy,Energy,Dual-use,Low,0.500,0.200,Technical assistance,USD,https://www.adb.org/projects/56061-001/main,,,,,,,
31-Dec-2022,56065-001,Development of Disaster Risk Finance Framework for the Yangtze River Basin Flood Risk Management,PRC,People's Republic of China,East Asia,EARD,EAPF,Sovereign,0.500,KSTA,Technical assistance,10027,ADB funds,Technical Assistance Special Fund,0.300,Finance,Finance,Mitigation,Low,0.300,,Technical assistance,USD,https://www.adb.org/projects/56065-001/main,,,,,,,
31-Dec-2022,56065-001,Development of Disaster Risk Finance Framework for the Yangtze River Basin Flood Risk Management,PRC,People's Republic of China,East Asia,EARD,EAPF,Sovereign,,KSTA,Technical assistance,10027,ADB funds,Regional Cooperation and Integration Fund,0.200,Finance,Finance,Mitigation,Low,,,Technical assistance,USD,https://www.adb.org/projects/56065-001/main,,,,,,,
25-Nov-2022,56066-001,"Promoting Environmental, Social, and Governance Investments of Insurance Funds",PRC,People's Republic of China,East Asia,EARD,EAPF,Sovereign,0.300,KSTA,Technical assistance,6982,ADB funds,Technical Assistance Special Fund,0.300,Finance,Finance,Dual-use,Low,0.025,0.025,Technical assistance,USD,https://www.adb.org/projects/56066-001/main,,,,,,,
30-Dec-2022,56194-001,Supporting Climate Resilience and Ecological Sustainability Projects,PRC,People's Republic of China,East Asia,EARD,EAPF,Sovereign,2.000,TRTA,Technical assistance,10018,ADB funds,Technical Assistance Special Fund,1.600,Finance,Finance,Dual-use,High,0.200,0.200,Technical assistance,USD,https://www.adb.org/projects/56194-001/main,,,,,,,
30-Dec-2022,56194-001,Supporting Climate Resilience and Ecological Sustainability Projects,PRC,People's Republic of China,East Asia,EARD,EAPF,Sovereign,,TRTA,Technical assistance,10018,ADB funds,Regional Cooperation and Integration Fund,0.400,Finance,Finance,Dual-use,High,0.050,0.050,Technical assistance,USD,https://www.adb.org/projects/56194-001/main,,,,,,,
30-Nov-2022,56204-001,Preparing Low-Carbon Development Projects,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,1.200,TRTA,Technical assistance,6986,ADB funds,Technical Assistance Special Fund,1.200,Energy,Water and other urban infrastructure and services,Dual-use,High,0.200,0.200,Technical assistance,USD,https://www.adb.org/projects/56204-001/main,,,,,,,
30-Nov-2022,56204-001,Preparing Low-Carbon Development Projects,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,TRTA,Technical assistance,6986,ADB funds,Technical Assistance Special Fund,,Energy,Transport,Dual-use,High,0.050,0.150,Technical assistance,USD,https://www.adb.org/projects/56204-001/main,,,,,,,
30-Nov-2022,56204-001,Preparing Low-Carbon Development Projects,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,TRTA,Technical assistance,6986,ADB funds,Technical Assistance Special Fund,,Energy,Energy,Dual-use,High,0.500,0.100,Technical assistance,USD,https://www.adb.org/projects/56204-001/main,,,,,,,
19-Dec-2022,56282-001,Supporting Climate Policy Actions,MON,Mongolia,East Asia,EARD,EAPF,Sovereign,0.500,KSTA,Technical assistance,10011,ADB funds,Technical Assistance Special Fund,0.500,Public sector management,Public sector management,Dual-use,Low,0.100,0.100,Technical assistance,USD,https://www.adb.org/projects/56282-001/main,,,,,,,
19-Dec-2022,56282-001,Supporting Climate Policy Actions,MON,Mongolia,East Asia,EARD,EAPF,Sovereign,,KSTA,Technical assistance,10011,ADB funds,Technical Assistance Special Fund,,Public sector management,Energy,Dual-use,Low,0.075,,Technical assistance,USD,https://www.adb.org/projects/56282-001/main,,,,,,,
23-Dec-2022,56298-002,Preparing the Infrastructure Development for Green and Resilient New Satellite City in the Khushig Valley Area,MON,Mongolia,East Asia,EARD,EASS,Sovereign,1.900,TRTA,Technical assistance,10059,ADB funds,Technical Assistance Special Fund,1.000,Water and other urban infrastructure and services,,Adaptation,High,,,Technical assistance,USD,https://www.adb.org/projects/56298-002/main,,,,,,,
23-Dec-2022,56298-002,Preparing the Infrastructure Development for Green and Resilient New Satellite City in the Khushig Valley Area,MON,Mongolia,East Asia,EARD,EASS,Sovereign,,TRTA,Technical assistance,10059,ADB funds,Climate Change Fund,0.900,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,High,,0.700,Technical assistance,USD,https://www.adb.org/projects/56298-002/main,,,,,,,
23-Dec-2022,56298-002,Preparing the Infrastructure Development for Green and Resilient New Satellite City in the Khushig Valley Area,MON,Mongolia,East Asia,EARD,EASS,Sovereign,,TRTA,Technical assistance,10059,ADB funds,Climate Change Fund,,Water and other urban infrastructure and services,Transport,Adaptation,High,,0.050,Technical assistance,USD,https://www.adb.org/projects/56298-002/main,,,,,,,
23-Dec-2022,56298-002,Preparing the Infrastructure Development for Green and Resilient New Satellite City in the Khushig Valley Area,MON,Mongolia,East Asia,EARD,EASS,Sovereign,,TRTA,Technical assistance,10059,ADB funds,Climate Change Fund,,Water and other urban infrastructure and services,Energy,Adaptation,High,,0.050,Technical assistance,USD,https://www.adb.org/projects/56298-002/main,,,,,,,
23-Dec-2022,56298-002,Preparing the Infrastructure Development for Green and Resilient New Satellite City in the Khushig Valley Area,MON,Mongolia,East Asia,EARD,EASS,Sovereign,,TRTA,Technical assistance,10059,ADB funds,Climate Change Fund,,Water and other urban infrastructure and services,Information and communication technology,Adaptation,High,,0.100,Technical assistance,USD,https://www.adb.org/projects/56298-002/main,,,,,,,
14-Dec-2022,56322-001,Integrating Lessons and Experiences from Air Quality Improvement Program in the Greater Beijing-Tianjin-Hebei Region,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,0.225,KSTA,Technical assistance,10046,ADB funds,Technical Assistance Special Fund,0.225,Energy,Energy,Dual-use,Low,0.113,0.113,Technical assistance,USD,https://www.adb.org/projects/56322-001/main,,,,,,,
28-Sep-2022,55256-002,Research on Economic Resilience,REG,Regional,Regional,ERCD,EROD,Sovereign,0.120,KSTA,Technical assistance,6964,ADB funds,Technical Assistance Special Fund,0.120,Finance,Energy,Mitigation,Low,0.030,,Technical assistance,USD,https://www.adb.org/projects/55256-002/main,,,,,,,
10-Oct-2022,56243-001,Estimating Carbon Footprint of Operations Supported by Financial Institutions – A case study,REG; THA,Regional; Thailand,Regional,ERCD,EROD,Sovereign,0.220,KSTA,Technical assistance,6976,ADB funds,Technical Assistance Special Fund,0.220,Finance,Finance,Dual-use,Low,0.110,0.110,Technical assistance,USD,https://www.adb.org/projects/56243-001/main,,,,,,,
19-Dec-2022,56316-001,"Legal Toolkit for the Protection of Vital Ecosystems for Climate, Biodiversity, and Livelihoods",REG,Regional,Regional,OGC,OGC,Sovereign,0.500,KSTA,Technical assistance,10061,ADB funds,Technical Assistance Special Fund,0.500,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,0.250,0.250,Technical assistance,USD,https://www.adb.org/projects/56316-001/main,,,,,,,
27-Oct-2022,56242-001,Developing Public-Private Partnership Projects in Digital Transformation,BAN; KAZ; PHI; REG; TIM,Bangladesh; Kazakhstan; Philippines; Regional; Timor-Leste,Regional,OPPP,OPOH,Sovereign,2.950,TRTA,Technical assistance,6979,ADB funds,Technical Assistance Special Fund,2.950,Information and communication technology,Information and communication technology,Dual-use,Low,0.300,0.300,Technical assistance,USD,https://www.adb.org/projects/56242-001/main,,,,,,,
23-Sep-2022,47356-002,Power Sector Development Project,PNG,Papua New Guinea,Pacific,PARD,PAEN,Sovereign,305.000,Project loan,Loan,4190,ADB funds,Concessional OCR,20.000,Energy,Energy,Dual-use,Medium,6.800,0.700,Investment,USD,https://www.adb.org/projects/47356-002/main,,,,,,,
23-Sep-2022,47356-002,Power Sector Development Project,PNG,Papua New Guinea,Pacific,PARD,PAEN,Sovereign,,Project loan,Loan,4189,ADB funds,OCR,188.600,Energy,Energy,Dual-use,Medium,62.700,6.000,Investment,USD,https://www.adb.org/projects/47356-002/main,,,,,,,
10-May-2022,48480-004,Sustainable and Climate-Resilient Connectivity Project - Additional Financing,NAU,Nauru,Pacific,PARD,PLCO,Sovereign,15.200,Project grant,Grant,0833,ADB funds,ADF,15.000,Transport,Transport,Dual-use,High,2.550,12.450,Investment,USD,https://www.adb.org/projects/48480-004/main,,,,,,,
23-Dec-2022,49450-028,Preparing Floating Solar Plus Projects under the Pacific Renewable Energy Investment Facility,REG; KIR; TON; TUV; FSM; NAU; RMI; SOL; VAN; COO; PAL; SAM,Regional; Kiribati; Tonga; Tuvalu; Federated States of Micronesia; Nauru; Marshall Islands; Solomon Islands; Vanuatu; Cook Islands; Palau; Samoa,Pacific,PARD,PAEN,Sovereign,1.500,TRTA,Technical assistance,6680,Cofinancing (Full administration),Clean Energy Financing Partnership Facility (Clean Energy Fund),1.500,Energy,Energy,Mitigation,Low,1.500,,Technical assistance,USD,https://www.adb.org/projects/49450-028/main,,,,,,,
8-Dec-2022,49450-036,Pacific Renewable Energy Investment Facility: Nuku’alofa Network Upgrade Project,TON,Tonga,Pacific,PARD,PAEN,Sovereign,8.700,IFF Project,Grant,0868,ADB funds,ADF,7.200,Energy,Energy,Dual-use,Medium,0.180,2.120,Investment,USD,https://www.adb.org/projects/49450-036/main,,,,,,,
19-Dec-2022,49453-004,South Tarawa Water Supply Project (Additional Financing),KIR,Kiribati,Pacific,PARD,PAUW,Sovereign,28.194,Project grant,Grant,0876,ADB funds,ADF,20.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,High,1.100,9.000,Investment,USD,https://www.adb.org/projects/49453-004/main,,,,,,,
19-Dec-2022,49453-004,South Tarawa Water Supply Project (Additional Financing),KIR,Kiribati,Pacific,PARD,PAUW,Sovereign,,Project grant,Grant,0877,Cofinancing (Full administration),Global Environment Facility (Least Developed Countries Fund),4.587,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,High,0.252,2.064,Investment,USD,https://www.adb.org/projects/49453-004/main,,,,,,,
8-Apr-2022,52031-002,Greater Port Vila Urban Resilience Project - Additional Financing,VAN,Vanuatu,Pacific,PARD,PAUW,Sovereign,4.394,Project grant,Grant,0832,Cofinancing (Full administration),Global Environment Facility (Least Developed Countries Fund),2.294,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,High,,2.294,Investment,USD,https://www.adb.org/projects/52031-002/main,,,,,,,
8-Apr-2022,52031-002,Greater Port Vila Urban Resilience Project - Additional Financing,VAN,Vanuatu,Pacific,PARD,PAUW,Sovereign,,Project grant,Grant,0831,Cofinancing (Full administration),Ireland Trust Fund for Building Climate Change and Disaster Resilience in Small Island Developing States,0.700,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,High,,0.700,Investment,USD,https://www.adb.org/projects/52031-002/main,,,,,,,
14-Dec-2022,52201-001,Civil Aviation Development Investment Project II,PNG,Papua New Guinea,Pacific,PARD,PATC,Sovereign,171.500,Project loan,Loan,4276,ADB funds,OCR,142.900,Transport,Transport,Adaptation,Medium,,13.500,Investment,USD,https://www.adb.org/projects/52201-001/main,,,,,,,
14-Dec-2022,52201-001,Civil Aviation Development Investment Project II,PNG,Papua New Guinea,Pacific,PARD,PATC,Sovereign,,Project loan,Loan,4277,ADB funds,Concessional OCR,20.000,Transport,,Adaptation,Medium,,,Investment,USD,https://www.adb.org/projects/52201-001/main,,,,,,,
14-Dec-2022,53083-001,Improved Technical and Vocational Education and Training for Employment Project,PNG,Papua New Guinea,Pacific,PARD,PASP,Sovereign,66.390,Project loan,Loan,4263,ADB funds,Concessional OCR,50.000,Education,Education,Dual-use,Low,3.000,4.942,Investment,USD,https://www.adb.org/projects/53083-001/main,,,,,,,
14-Dec-2022,53083-001,Improved Technical and Vocational Education and Training for Employment Project,PNG,Papua New Guinea,Pacific,PARD,PASP,Sovereign,,Project loan,Grant,0856,Cofinancing (Full administration),Australia,10.690,Education,Education,Dual-use,Low,,1.420,Investment,USD,https://www.adb.org/projects/53083-001/main,,,,,,,
9-Apr-2022,54011-001,Preparing the Disaster Resilient Clean Energy Financing (Attached TA to Disaster Resilient Clean Energy Financing),PAL,Palau,Pacific,PARD,PAEN,Sovereign,,CDTA,Technical assistance,6580,Cofinancing (Full administration),Japan Fund for the Joint Crediting Mechanism,1.500,Energy,Energy,Mitigation,Medium,1.500,,Technical assistance,USD,https://www.adb.org/projects/54011-001/main,,,,,,,
22-Nov-2022,54054-001,Strengthening Macroeconomic Resilience Program (Subprogram 1),SAM,Samoa,Pacific,PARD,PASP,Sovereign,38.400,Programmatic Approach Policy-Based Lending (Grant),Grant,0862,ADB funds,ADF,7.500,Public sector management,Public sector management,Dual-use,Low,0.536,0.536,Investment,USD,https://www.adb.org/projects/54054-001/main,,,,,,,
14-Oct-2022,54068-001,Support to Climate Resilient Investment Pathways in the Pacific,REG; COO; FIJ,Regional; Cook Islands; Fiji,Pacific,PARD,PAEN,Sovereign,1.000,KSTA,Technical assistance,6683,Cofinancing (Full administration),Climate Investment Funds (Strategic Climate Fund),1.000,Public sector management,Public sector management,Adaptation,Low,,0.400,Technical assistance,USD,https://www.adb.org/projects/54068-001/main,,,,,,,
14-Oct-2022,54068-001,Support to Climate Resilient Investment Pathways in the Pacific,REG; COO; FIJ,Regional; Cook Islands; Fiji,Pacific,PARD,PAEN,Sovereign,,KSTA,Technical assistance,6683,Cofinancing (Full administration),Climate Investment Funds (Strategic Climate Fund),,Public sector management,Energy,Adaptation,Low,,0.300,Technical assistance,USD,https://www.adb.org/projects/54068-001/main,,,,,,,
14-Oct-2022,54068-001,Support to Climate Resilient Investment Pathways in the Pacific,REG; COO; FIJ,Regional; Cook Islands; Fiji,Pacific,PARD,PAEN,Sovereign,,KSTA,Technical assistance,6683,Cofinancing (Full administration),Climate Investment Funds (Strategic Climate Fund),,Public sector management,Transport,Adaptation,Low,,0.300,Technical assistance,USD,https://www.adb.org/projects/54068-001/main,,,,,,,
15-Aug-2022,54151-003,Palau Public Utilities Corporation Reform Program (Subprogram 2),PAL,Palau,Pacific,PARD,PAEN,Sovereign,5.000,Programmatic Approach Policy-Based Lending (Loan),Loan,4198,ADB funds,Concessional OCR,5.000,Water and other urban infrastructure and services,Energy,Mitigation,Low,0.770,,Investment,USD,https://www.adb.org/projects/54151-003/main,,,,,,,
3-Oct-2022,54463-001,Strengthening Domestic Shipping Project,TUV,Tuvalu,Pacific,PARD,PATC,Sovereign,33.000,Grant projects,Grant,0849,ADB funds,ADF,30.000,Transport,Transport,Dual-use,Low,7.100,2.150,Investment,USD,https://www.adb.org/projects/54463-001/main,,,,,,,
29-Oct-2022,55070-001,Preparing Clean and Renewable Energy Investments in the Pacific,FSM; REG; RMI; SOL,Federated States of Micronesia; Regional; Marshall Islands; Solomon Islands,Pacific,PARD,PAEN,Sovereign,,TRTA,Technical assistance,6826,Cofinancing (Full administration),High Level Technology Fund,0.250,Energy,Energy,Mitigation,Low,0.250,,Technical assistance,USD,https://www.adb.org/projects/55070-001/main,,,,,,,
29-Oct-2022,55070-001,Preparing Clean and Renewable Energy Investments in the Pacific,FSM; REG; RMI; SOL,Federated States of Micronesia; Regional; Marshall Islands; Solomon Islands,Pacific,PARD,PAEN,Sovereign,,TRTA,Technical assistance,6826,Cofinancing (Full administration),Climate Investment Funds (Strategic Climate Fund),0.500,Energy,Energy,Mitigation,Low,0.500,,Technical assistance,USD,https://www.adb.org/projects/55070-001/main,,,,,,,
