Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Mitigation Finance ($ million),Adaptation Finance ($ million),Type of Financing,Currency,Project URL,,,,
22-Dec-23,57043-001,"Leveraging the Private Sector to Deliver Inclusive, Affordable, and Climate-Resilient Housing in Central and West Asia",ARM; AZE; GEO; KGZ; PAK; TAJ; UZB; REG,Regional (Central and West Asia),Central and West Asia,CWRD,CWPS,Sovereign,0.5,KSTA,Technical assistance,10265,ADB funds,Technical Assistance Special Fund,0.5,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,High,,0.5,Technical assistance,US$,https://www.adb.org/projects/57043-001/main,,,,
27-Dec-23,57045-001,Kyrgyz Republic: Assessing Public–Private Partnership Opportunities,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWPS,Sovereign,0.3,KSTA,Technical assistance,10236,ADB funds,Technical Assistance Special Fund,0.3,Education,Education,Dual-use,Low,0.16,0.14,Technical assistance,US$,https://www.adb.org/projects/57045-001/main,,,,
13-May-23,57063-001,Preparing the Energy Sector Projects,UZB,Uzbekistan,Central and West Asia,SG,SG-ENE,Sovereign,2.2,TRTA,Technical assistance,10100,ADB funds,Technical Assistance Special Fund,1.2,Energy,Energy,Mitigation,Low,0.95,,Technical assistance,US$,https://www.adb.org/projects/57063-001/main,,,,
09-Aug-23,57063-001,Preparing the Energy Sector Projects,UZB,Uzbekistan,Central and West Asia,SG,SG-ENE,Sovereign,,TRTA,Technical assistance cofinancing,10100,Cofinancing (Full administration),Clean Energy Financing Partnership Facility (Clean Energy Fund),1,Energy,Energy,Mitigation,Low,0.792,,Technical assistance,US$,https://www.adb.org/projects/57063-001/main,,,,
30-Nov-23,57089-001,Preparing Investment Program for Clean and Sustainable Energy,PAK,Pakistan,Central and West Asia,SG,SG-ENE,Sovereign,1.8,TRTA,Technical assistance,10195,ADB funds,Technical Assistance Special Fund,0.8,Energy,Energy,Dual-use,Low,0.4,0.4,Technical assistance,US$,https://www.adb.org/projects/57089-001/main,,,,
18-Dec-23,57089-001,Preparing Investment Program for Clean and Sustainable Energy,PAK,Pakistan,Central and West Asia,SG,SG-ENE,Sovereign,,TRTA,Technical assistance cofinancing,10195,Cofinancing (Full administration),GEAPP Energy Access and Transition Trust Fund,1,Energy,Energy,Dual-use,Low,1,,Technical assistance,US$,https://www.adb.org/projects/57089-001/main,,,,
18-Oct-23,57091-001,Achieving Climate Change Objectives through Public Financial Management Reforms,KGZ; PAK; TAJ; UZB; REG,Regional (Central and West Asia),Central and West Asia,SG,SG-PMSG,Sovereign,0.5,KSTA,Technical assistance cofinancing,10159,Cofinancing (Full administration),Republic of Korea e-Asia and Knowledge Partnership Fund,0.5,Public sector management,Public sector management,Dual-use,Medium,0.25,0.25,Technical assistance,US$,https://www.adb.org/projects/57091-001/main,,,,
01-Aug-23,57142-001,Georgia Capital Sustainability-Linked Bond Project,GEO,Georgia,Central and West Asia,PSOD,PSIF1;OPSD-SST,Nonsovereign,150,Investment Support,Loan,7793,ADB funds,OCR,20,Finance,Finance,Mitigation,Low,20,,Investment,US$,https://www.adb.org/projects/57142-001/main,,,,
23-Dec-23,57223-001,Preparing Water and Urban Development Projects,PAK,Pakistan,Central and West Asia,SG,SG-WUD,Sovereign,2,TRTA,Technical assistance,10196,ADB funds,Technical Assistance Special Fund,2,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Low,0.05,0.05,Technical assistance,US$,https://www.adb.org/projects/57223-001/main,,,,
10-Mar-23,CCFADC00062,Supporting Climate Adaptation through Green Fiscal and Public Financial Management (PFM) Reforms,REG (Central and West Asia),Regional (Central and West Asia),Central and West Asia,CWRD,CWPF,Sovereign,0.175,Direct charge,Other,CCFADC00062,ADB funds,Climate Change Fund,0.175,Public sector management,Public sector management,Adaptation,,,0.175,Direct Charge,US$,,,,,
05-Oct-23,48186-008,Regional Road Development and Maintenance Project (Phase 3),MON,Mongolia,East Asia,EARD,EASI,Sovereign,158,Investment Support,Loan,4343,ADB funds,OCR,120,Transport,Transport,Dual-use,Medium,0.24,30.56,Investment,US$,https://www.adb.org/projects/48186-008/main,,,,
05-Oct-23,48186-008,Regional Road Development and Maintenance Project (Phase 3),MON,Mongolia,East Asia,EARD,EASI,Sovereign,,Investment Support,Loan,4342,ADB funds,Concessional OCR,30,Transport,Transport,Dual-use,Medium,0.06,7.64,Investment,US$,https://www.adb.org/projects/48186-008/main,,,,
28-Dec-23,51381-001,Shanxi Changzhi Low-Carbon Climate-Resilient Circular Economy Transformation Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,665.1,Investment Support,Loan,4353,ADB funds,OCR,304.087,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,49.179,99.269,Investment,US$,https://www.adb.org/projects/51381-001/main,,,,
28-Dec-23,51381-001,Shanxi Changzhi Low-Carbon Climate-Resilient Circular Economy Transformation Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,,Investment Support,Loan,4353,ADB funds,OCR,,Water and other urban infrastructure and services,Transport,Dual-use,Medium,21.988,6.803,Investment,US$,https://www.adb.org/projects/51381-001/main,,,,
28-Dec-23,51381-001,Shanxi Changzhi Low-Carbon Climate-Resilient Circular Economy Transformation Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,,Investment Support,Loan,4353,ADB funds,OCR,,Water and other urban infrastructure and services,Information and communication technology,Dual-use,Medium,11.262,18.156,Investment,US$,https://www.adb.org/projects/51381-001/main,,,,
28-Dec-23,51381-001,Shanxi Changzhi Low-Carbon Climate-Resilient Circular Economy Transformation Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,,Investment Support,Loan,4353,ADB funds,OCR,,Water and other urban infrastructure and services,Finance,Dual-use,Medium,44.002,,Investment,US$,https://www.adb.org/projects/51381-001/main,,,,
23-Jun-23,52021-001,"Strengthening Capacity on Disaster Risk Assessment, Reduction, and Transfer Instruments in Mongolia",MON,Mongolia,East Asia,SG,SG-AFNR; EARD,Sovereign,0.3,KSTA,Technical assistance cofinancing,9880,Cofinancing (Full administration),High Level Technology Fund,0.3,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.3,Technical assistance,US$,https://www.adb.org/projects/52021-001/main,,,,
18-Dec-23,52240-002,Supporting Renewable Energy Development,MON,Mongolia,East Asia,SG,Sustainable Infrastructure Division-EARD; SG-ENE,Sovereign,0.75,TRTA,Technical assistance,9941,ADB funds,Technical Assistance Special Fund,0.75,Energy,Education,Dual-use,Medium,0.563,0.188,Technical assistance,US$,https://www.adb.org/projects/52240-002/main,,,,
12-Dec-23,53074-001,Preparing Sustainable Development Projects,PRC,People's Republic of China,East Asia,SG,Sustainable Infrastructure Division-EARD; SG-ENE; SG-TRA,Sovereign,0.4,TRTA,Technical assistance,9820,ADB funds,Technical Assistance Special Fund,0.4,Transport,Transport,Dual-use,Medium,0.036,0.036,Technical assistance,US$,https://www.adb.org/projects/53074-001/main,,,,
28-Dec-23,53078-001,Shanxi Low-Carbon and Inclusive Rural Development Project,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,318.41,Investment Support,Loan,4358,ADB funds,OCR,162.434,Energy,Energy,Dual-use,Medium,29.93,12.04,Investment,US$,https://www.adb.org/projects/53078-001/main,,,,
28-Dec-23,53078-001,Shanxi Low-Carbon and Inclusive Rural Development Project,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,Investment Support,Loan,4358,ADB funds,OCR,,Energy,Finance,Dual-use,Medium,7.89,4,Investment,US$,https://www.adb.org/projects/53078-001/main,,,,
28-Dec-23,53078-001,Shanxi Low-Carbon and Inclusive Rural Development Project,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,Investment Support,Loan,4358,ADB funds,OCR,,Energy,"Agriculture, natural resources and rural development",Dual-use,Medium,28.56,47.72,Investment,US$,https://www.adb.org/projects/53078-001/main,,,,
30-Dec-23,54026-016,Research on Integrated Management of Water Scarcity and Ecological Protection in the Yellow River Basin,PRC,People's Republic of China,East Asia,SG,SG-AFNR,Sovereign,0.3,KSTA,Technical assistance,10224,ADB funds,Technical Assistance Special Fund,0.3,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.06,Technical assistance,US$,https://www.adb.org/projects/54026-016/main,,,,
26-Dec-23,54026-017,Policy and Systems of Synergistically Reducing Pollution and Carbon Emissions in Industry in the Yellow River Basin,PRC,People's Republic of China,East Asia,SG,SG-AFNR,Sovereign,0.3,KSTA,Technical assistance,10208,ADB funds,Technical Assistance Special Fund,0.3,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,0.15,0.15,Technical assistance,US$,https://www.adb.org/projects/54026-017/main,,,,
26-Dec-23,55044-002,Border Efficiency for Sustainable Trade Project,MON,Mongolia,East Asia,EARD,EASI,Sovereign,108,Investment Support,Loan,4419,ADB funds,Concessional OCR,45,Industry and Trade,Industry and trade,Dual-use,Medium,11.29,7.46,Investment,US$,https://www.adb.org/projects/55044-002/main,,,,
26-Dec-23,55044-002,Border Efficiency for Sustainable Trade Project,MON,Mongolia,East Asia,EARD,EASI,Sovereign,,Investment Support,Loan,4420,ADB funds,OCR,50,Industry and Trade,Industry and trade,Dual-use,Medium,12.54,8.28,Investment,US$,https://www.adb.org/projects/55044-002/main,,,,
26-Dec-23,55044-002,Border Efficiency for Sustainable Trade Project,MON,Mongolia,East Asia,EARD,EASI,Sovereign,,Investment Support,Grant,0929,ADB funds,ADF,5,Industry and Trade,,Dual-use,Medium,,,Investment,US$,https://www.adb.org/projects/55044-002/main,,,,
18-Dec-23,55044-003,Cross Border Facilitation and Ports Coordination and Integration,MON,Mongolia,East Asia,SG,SG-TRA,Sovereign,0.6,TRTA,Technical assistance,10230,ADB funds,Technical Assistance Special Fund,0.6,Industry and trade,Industry and trade,Adaptation,Medium,,0.15,Technical assistance,US$,https://www.adb.org/projects/55044-003/main,,,,
28-Dec-23,55048-001,Anhui Chao Lake Environmental Rehabilitation Project (Phase 2),PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,453.01,Investment Support,Loan,4369,ADB funds,OCR,231.354,"Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Dual-use,High,15.975,27.935,Investment,US$,https://www.adb.org/projects/55048-001/main,,,,
28-Dec-23,55048-001,Anhui Chao Lake Environmental Rehabilitation Project (Phase 2),PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,,Investment Support,Loan,4369,ADB funds,OCR,,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,15.975,27.935,Investment,US$,https://www.adb.org/projects/55048-001/main,,,,
28-Dec-23,55128-001,Hubei Yichang Rural Green Development Project,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,404.76,Investment Support,Loan,4374,ADB funds,OCR,205.39,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,71.45,55.087,Investment,US$,https://www.adb.org/projects/55128-001/main,,,,
30-Dec-23,55261-001,Guangxi Environmentally Sustainable Rural Development Demonstration Project,PRC,People's Republic of China,East Asia,EARD,EAPF,Sovereign,419.67,Investment Support,Loan,4373,ADB funds,OCR,153.982,Finance,Finance,Dual-use,Medium,50.03,18.96,Investment,US$,https://www.adb.org/projects/55261-001/main,,,,
12-Oct-23,56194-001,Supporting Climate Resilience and Ecological Sustainability Projects (Supplementary),PRC,People's Republic of China,East Asia,SG,SG-FIN,Sovereign,1.2,TRTA,Technical assistance,10018,ADB funds,Climate Change Fund,0.5,Finance,Finance,Mitigation,High,0.5,,Technical assistance,US$,https://www.adb.org/projects/56194-001/main,,,,
14-Dec-23,56194-001,Supporting Climate Resilience and Ecological Sustainability Projects (Supplementary),PRC,People's Republic of China,East Asia,SG,SG-FIN,Sovereign,,TRTA,Technical assistance,10018,ADB funds,Technical Assistance Special Fund,0.4,Finance,Finance,Mitigation,High,,,Technical assistance,US$,https://www.adb.org/projects/56194-001/main,,,,
12-May-23,56194-001,Supporting Climate Resilience and Ecological Sustainability Projects,PRC,People's Republic of China,East Asia,SG,SG-FIN,Sovereign,,TRTA,Technical assistance,10018,ADB funds,Financial Sector Development Partnership Special Fund,0.3,Finance,Finance,Mitigation,High,,,Technical assistance,US$,https://www.adb.org/projects/56194-001/main,,,,
27-Dec-23,56204-001,Preparing Low-Carbon Development Projects,PRC,People's Republic of China,East Asia,SG,Urban and Social Sectors Division-EARD; Sustainable Infrastructure Division-EARD; SG-ENE,Sovereign,0.4,TRTA,Technical assistance,6986,ADB funds,Technical Assistance Special Fund,0.4,Energy,Energy,Dual-use,High,0.3,,Technical assistance,US$,https://www.adb.org/projects/56204-001/main,,,,
27-Dec-23,56204-001,Preparing Low-Carbon Development Projects,PRC,People's Republic of China,East Asia,SG,Urban and Social Sectors Division-EARD; Sustainable Infrastructure Division-EARD; SG-ENE,Sovereign,,TRTA,Technical assistance,6986,ADB funds,Technical Assistance Special Fund,,Energy,Water and other urban infrastructure and services,Dual-use,High,,0.1,Technical assistance,US$,https://www.adb.org/projects/56204-001/main,,,,
28-Dec-23,56210-001,Hubei Huanggang Dabie Mountain Ecosystem Protection and Carbon-Neutral Green Development Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,410.801,Investment Support,Loan,4385,ADB funds,OCR,208.739,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,61.37,58.73,Investment,US$,https://www.adb.org/projects/56210-001/main,,,,
30-Jun-23,56263-001,Intermed Hospital Expansion Project,MON,Mongolia,East Asia,PSOD,OPSD,Nonsovereign,18.4,Investment Support,Loan,4314,ADB funds,OCR,10.187,Health,Health,Mitigation,Low,1,,Investment,US$,https://www.adb.org/projects/56263-001/main,,,,
14-Jun-23,56282-001,Supporting Climate Policy Actions,MON,Mongolia,East Asia,SG,SG-FIN,Sovereign,0.1,KSTA,Technical assistance,10011,ADB funds,Financial Sector Development Partnership Special Fund,0.1,Public sector management,Public sector management,Dual-use,Low,0.05,0.05,Technical assistance,US$,https://www.adb.org/projects/56282-001/main,,,,
28-Dec-23,56309-001,Yangtze River Economic Belt Jiangxi Ecological Civilization and Circular Economy Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,365.02,Investment Support,Loan,4398,ADB funds,OCR,200,"Agriculture, natural resources and rural development",Public sector management,Dual-use,Medium,0.73,5.95,Investment,US$,https://www.adb.org/projects/56309-001/main,,,,
28-Dec-23,56309-001,Yangtze River Economic Belt Jiangxi Ecological Civilization and Circular Economy Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,,Investment Support,Loan,4398,ADB funds,OCR,,"Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Dual-use,Medium,6.55,34.02,Investment,US$,https://www.adb.org/projects/56309-001/main,,,,
28-Dec-23,56309-001,Yangtze River Economic Belt Jiangxi Ecological Civilization and Circular Economy Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,,Investment Support,Loan,4398,ADB funds,OCR,,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,28.5,68.49,Investment,US$,https://www.adb.org/projects/56309-001/main,,,,
29-Aug-23,57008-001,Supporting Energy-Saving Regulation and Energy Efficiency Investments in Mongolia,MON,Mongolia,East Asia,SG,SG-ENE,Sovereign,0.225,KSTA,Technical assistance cofinancing,10142,Cofinancing (Full administration),Climate Investment Funds (Strategic Climate Fund),0.225,Education,Education,Mitigation,Low,0.225,,Technical assistance,US$,https://www.adb.org/projects/57008-001/main,,,,
26-Dec-23,57100-001,Research on Environmentally Sustainable Development Technology Assessment and Innovation Path of the People’s Republic of China's Coastal Ports,PRC,People's Republic of China,East Asia,SG,SG-TRA,Sovereign,0.3,KSTA,Technical assistance,10202,ADB funds,Technical Assistance Special Fund,0.3,Transport,Transport,Mitigation,Low,0.2,,Technical assistance,US$,https://www.adb.org/projects/57100-001/main,,,,
26-Dec-23,57100-001,Research on Environmentally Sustainable Development Technology Assessment and Innovation Path of the People’s Republic of China's Coastal Ports,PRC,People's Republic of China,East Asia,SG,SG-TRA,Sovereign,,KSTA,Technical assistance,10202,ADB funds,Technical Assistance Special Fund,,Transport,Education,Mitigation,Low,0.1,,Technical assistance,US$,https://www.adb.org/projects/57100-001/main,,,,
26-Dec-23,57103-001,Building a Climate Change Early Warning System for the Aged,PRC,People's Republic of China,East Asia,SG,SG-HSD,Sovereign,0.5,KSTA,Technical assistance,10207,ADB funds,Technical Assistance Special Fund,0.5,Health,Health,Adaptation,High,,0.5,Technical assistance,US$,https://www.adb.org/projects/57103-001/main,,,,
02-Dec-23,57107-001,Provincial and Municipal Climate Change Adaptation Capacity Improvement,PRC,People's Republic of China,East Asia,CCSD,CCRE,Sovereign,0.525,KSTA,Technical assistance,10173,ADB funds,Technical Assistance Special Fund,0.3,"Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Adaptation,Low,,0.04,Technical assistance,US$,https://www.adb.org/projects/57107-001/main,,,,
02-Dec-23,57107-001,Provincial and Municipal Climate Change Adaptation Capacity Improvement,PRC,People's Republic of China,East Asia,CCSD,CCRE,Sovereign,,KSTA,Technical assistance,10173,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.185,Technical assistance,US$,https://www.adb.org/projects/57107-001/main,,,,
02-Dec-23,57107-001,Provincial and Municipal Climate Change Adaptation Capacity Improvement,PRC,People's Republic of China,East Asia,CCSD,CCRE,Sovereign,,KSTA,Technical assistance,10173,ADB funds,Climate Change Fund,0.225,"Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Adaptation,Low,,0.055,Technical assistance,US$,https://www.adb.org/projects/57107-001/main,,,,
02-Dec-23,57107-001,Provincial and Municipal Climate Change Adaptation Capacity Improvement,PRC,People's Republic of China,East Asia,CCSD,CCRE,Sovereign,,KSTA,Technical assistance,10173,ADB funds,Climate Change Fund,,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.245,Technical assistance,US$,https://www.adb.org/projects/57107-001/main,,,,
11-Nov-23,57108-001,Research on Protection and Restoration Policy of Migratory Birds,PRC,People's Republic of China,East Asia,SG,SG-AFNR,Sovereign,0.75,KSTA,Technical assistance,10158,ADB funds,Technical Assistance Special Fund,0.75,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.5,Technical assistance,US$,https://www.adb.org/projects/57108-001/main,,,,
19-Dec-23,57111-001,Poyang Lake Climate Change Adaptation Action Plan,PRC,People's Republic of China,East Asia,SG,SG-AFNR,Sovereign,0.3,KSTA,Technical assistance,10188,ADB funds,Technical Assistance Special Fund,0.3,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.3,Technical assistance,US$,https://www.adb.org/projects/57111-001/main,,,,
28-Dec-23,57113-001,Research on Ecological Protection and Restoration Strategies and Policies of Coastal Zones in Guangdong’s Highly Urbanized Areas,PRC,People's Republic of China,East Asia,SG,SG-AFNR,Sovereign,0.3,KSTA,Technical assistance,10216,ADB funds,Technical Assistance Special Fund,0.3,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.3,Technical assistance,US$,https://www.adb.org/projects/57113-001/main,,,,
29-Dec-23,57114-001,Supporting Market-Based Trading of Carbon Emission Rights in Hunan Province,PRC,People's Republic of China,East Asia,SG,SG-FIN,Sovereign,0.3,KSTA,Technical assistance,10221,ADB funds,Technical Assistance Special Fund,0.3,Finance,Finance,Mitigation,Medium,0.3,,Technical assistance,US$,https://www.adb.org/projects/57114-001/main,,,,
16-Oct-23,57115-001,Promoting Innovative and Sustainable Financing,MON,Mongolia,East Asia,SG,SG-FIN,Sovereign,0.225,KSTA,Technical assistance,10163,ADB funds,Technical Assistance Special Fund,0.225,Finance,Finance,Mitigation,Low,0.1,,Technical assistance,US$,https://www.adb.org/projects/57115-001/main,,,,
28-Dec-23,57119-001,The Role of the Digital Economy in Supporting Enterprise Green Development,PRC,People's Republic of China,East Asia,SG,SG-FIN,Sovereign,0.3,KSTA,Technical assistance,10211,ADB funds,Technical Assistance Special Fund,0.3,Finance,Finance,Mitigation,Low,0.3,,Technical assistance,US$,https://www.adb.org/projects/57119-001/main,,,,
31-Jul-23,57144-001,Leveraging Trade to Address Climate Change in Asia and the Pacific,PRC; REG,Regional (East Asia),East Asia,CCSD,CCRC,Sovereign,0.225,KSTA,Technical assistance,10137,ADB funds,Regional Cooperation and Integration Fund,0.225,Industry and trade,Industry and trade,Mitigation,Medium,0.225,,Technical assistance,US$,https://www.adb.org/projects/57144-001/main,,,,
31-Oct-23,57156-001,Gobi Climate-Resilient Cashmere Value Chain Project,MON,Mongolia,East Asia,PSOD,OPSD-AIT,Nonsovereign,49,Investment Support,Loan,4365,ADB funds,OCR,30,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,30,Investment,US$,https://www.adb.org/projects/57156-001/main,,,,
05-Dec-23,57157-001,Promoting Climate Readiness for Small and Medium-Sized Banks in the Beijing-Tianjin-Hebei Region,PRC,People's Republic of China,East Asia,EARD,PRCM,Sovereign,0.5,KSTA,Technical assistance,10171,ADB funds,Technical Assistance Special Fund,0.5,Finance,Finance,Dual-use,Low,0.25,0.25,Technical assistance,US$,https://www.adb.org/projects/57157-001/main,,,,
20-Dec-23,57273-001,Climate-Smart Mining for a New Climate Economy,MON,Mongolia,East Asia,EARD,EAOD,Sovereign,0.5,KSTA,Technical assistance,10237,ADB funds,Technical Assistance Special Fund,0.5,Industry and trade,Energy,Dual-use,Low,0.1,,Technical assistance,US$,https://www.adb.org/projects/57273-001/main,,,,
20-Dec-23,57273-001,Climate-Smart Mining for a New Climate Economy,MON,Mongolia,East Asia,EARD,EAOD,Sovereign,,KSTA,Technical assistance,10237,ADB funds,Technical Assistance Special Fund,,Industry and trade,Finance,Dual-use,Low,0.05,0.05,Technical assistance,US$,https://www.adb.org/projects/57273-001/main,,,,
20-Dec-23,57273-001,Climate-Smart Mining for a New Climate Economy,MON,Mongolia,East Asia,EARD,EAOD,Sovereign,,KSTA,Technical assistance,10237,ADB funds,Technical Assistance Special Fund,,Industry and trade,Industry and trade,Dual-use,Low,0.2,0.1,Technical assistance,US$,https://www.adb.org/projects/57273-001/main,,,,
10-Mar-23,CCFADC00061,Developing ADB’s first Type 2b climate change adaptation project for PRC,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,0.072,Direct charge,Other,CCFADC00061,ADB funds,Climate Change Fund,0.072,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,,,0.072,Direct Charge,US$,,,,,
13-Dec-23,38272-045,Uttarakhand Integrated and Resilient Urban Development Project - Additional Financing,IND,India,South Asia,SARD,SAUW,Sovereign,254,Investment Support,Loan,4407,ADB funds,OCR,200,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,78.69,42.86,Investment,US$,https://www.adb.org/projects/38272-045/main,,,,https://www.adb.org/projects/38272-045/main
30-May-23,40540-016,"South Asia Subregional Economic Cooperation Dhaka-Northwest Corridor Road Project, Phase 2",BAN,Bangladesh,South Asia,SG,SG-TRA,Sovereign,1,TRTA,Technical assistance,9408,ADB funds,Technical Assistance Special Fund,0.2,Transport,Transport,Mitigation,Medium,0.2,,Technical assistance,US$,https://www.adb.org/projects/40540-016/main,,,,https://www.adb.org/projects/40540-016/main
05-Dec-23,40540-016,"South Asia Subregional Economic Cooperation Dhaka-Northwest Corridor Road Project, Phase 2",BAN,Bangladesh,South Asia,SG,SG-TRA,Sovereign,,TRTA,Technical assistance,9408,ADB funds,Technical Assistance Special Fund,0.8,Transport,Transport,Mitigation,Medium,,,Technical assistance,US$,https://www.adb.org/projects/40540-016/main,,,,https://www.adb.org/projects/40540-016/main
28-Nov-23,40540-019,"South Asia Subregional Economic Cooperation Dhaka-Northwest Corridor Road Project, Phase 2 (Tranche 3)",BAN,Bangladesh,South Asia,SARD,SATC,Sovereign,461.5,Investment Support,Loan,4389,ADB funds,OCR,303.0290804,Transport,Transport,Adaptation,Medium,,38.5,Investment,US$,https://www.adb.org/projects/40540-019/main,,,,https://www.adb.org/projects/40540-019/main
01-Mar-23,42267-032,Promoting Smart and Integrated Urban Planning for Livability and Cultural Economy in Rajasthan,IND,India,South Asia,SARD,SAUW,Sovereign,0.85,KSTA,Technical assistance cofinancing,6779,Cofinancing (Full administration),High Level Technology Fund,0.85,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,0.2,0.1,Technical assistance,US$,https://www.adb.org/projects/42267-032/main,,,,https://www.adb.org/projects/42267-032/main
27-Jul-23,42267-034,Rajasthan Secondary Towns Development Sector Project - Additional Financing,IND,India,South Asia,SARD,SAUW,Sovereign,299.8,Investment Support,Loan,4325,ADB funds,OCR,200,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,High,44.75,78.05,Investment,US$,https://www.adb.org/projects/42267-034/main,,,,https://www.adb.org/projects/42267-034/main
25-Jun-23,46452-005,"South Asia Subregional Economic Cooperation Chittagong–Cox's Bazar Railway Project, Phase 1 (Tranche 3)",BAN,Bangladesh,South Asia,SARD,SATC,Sovereign,402.95,Investment Support,Loan,4321,ADB funds,OCR,402.1731179,Transport,Transport,Dual-use,High,365.87,34.13,Investment,US$,https://www.adb.org/projects/46452-005/main,,,,https://www.adb.org/projects/46452-005/main
30-Nov-23,46452-005,"South Asia Subregional Economic Cooperation Chittagong–Cox's Bazar Railway Project, Phase 1 (Tranche 3)",BAN,Bangladesh,South Asia,SARD,BRM,Sovereign,,TRTA,Technical assistance,10115,ADB funds,Technical Assistance Special Fund,0.45,Transport,Transport,Dual-use,High,,,Technical assistance,US$,https://www.adb.org/projects/46452-005/main,,,,https://www.adb.org/projects/46452-005/main
14-Aug-23,47243-006,Rural Connectivity Improvement Project-Second Additional Financing,BAN,Bangladesh,South Asia,SARD,SAER,Sovereign,267.1,Investment Support,Loan,4327,ADB funds,Concessional OCR,190,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,,39.3,Investment,US$,https://www.adb.org/projects/47243-006/main,,,,https://www.adb.org/projects/47243-006/main
31-Oct-23,48218-011,Rural Connectivity Improvement Project - Additional Financing,NEP,Nepal,South Asia,SARD,SAER,Sovereign,121,Investment Support,Loan,4320,ADB funds,Concessional OCR,100,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,,20.4,Investment,US$,https://www.adb.org/projects/48218-011/main,,,,https://www.adb.org/projects/48218-011/main
09-Aug-23,48218-011,Rural Connectivity Improvement Project - Additional Financing,NEP,Nepal,South Asia,SG,SG-AFNR,Sovereign,,TRTA,Technical assistance,10113,ADB funds,Technical Assistance Special Fund,1,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,,,Technical assistance,US$,https://www.adb.org/projects/48218-011/main,,,,https://www.adb.org/projects/48218-011/main
23-May-23,48434-004,Visakhapatnam-Chennai Industrial Corridor Development Program (Tranche 2),IND,India,South Asia,SARD,SAUW,Sovereign,214.8,Investment Support,Loan,4312,ADB funds,OCR,141.12,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,0.06,9.52,Investment,US$,https://www.adb.org/projects/48434-004/main,,,,https://www.adb.org/projects/48434-004/main
